From	To	Species	Gene Name
b4240	treB	Escherichia coli str. K-12 substr. MG1655	trehalose-specific PTS enzyme IIBC component(treB)
b4485	ytfR	Escherichia coli str. K-12 substr. MG1655	galactofuranose ABC transporter putative ATP binding subunit(ytfR)
b2065	dcd	Escherichia coli str. K-12 substr. MG1655	dCTP deaminase(dcd)
b4242	mgtA	Escherichia coli str. K-12 substr. MG1655	Mg(2(+)) importing P-type ATPase(mgtA)
b3396	mrcA	Escherichia coli str. K-12 substr. MG1655	peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcA(mrcA)
b3390	aroK	Escherichia coli str. K-12 substr. MG1655	shikimate kinase 1(aroK)
b4481	wecF	Escherichia coli str. K-12 substr. MG1655	TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase(wecF)
b4238	nrdD	Escherichia coli str. K-12 substr. MG1655	anaerobic ribonucleoside-triphosphate reductase(nrdD)
b4237	nrdG	Escherichia coli str. K-12 substr. MG1655	anaerobic ribonucleoside-triphosphate reductase activating protein(nrdG)
b4239	treC	Escherichia coli str. K-12 substr. MG1655	trehalose-6-phosphate hydrolase(treC)
b2297	pta	Escherichia coli str. K-12 substr. MG1655	phosphate acetyltransferase(pta)
b4476	gntU	Escherichia coli str. K-12 substr. MG1655	low-affinity gluconate transporter(gntU)
b3386	rpe	Escherichia coli str. K-12 substr. MG1655	ribulose-phosphate 3-epimerase(rpe)
b4233	mpl	Escherichia coli str. K-12 substr. MG1655	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptanedioate ligase(mpl)
b4478	dgoD	Escherichia coli str. K-12 substr. MG1655	D-galactonate dehydratase(dgoD)
b4477	dgoA	Escherichia coli str. K-12 substr. MG1655	2-dehydro-3-deoxy-6-phosphogalactonate aldolase(dgoA)
b3389	aroB	Escherichia coli str. K-12 substr. MG1655	3-dehydroquinate synthase(aroB)
b2051	gmm	Escherichia coli str. K-12 substr. MG1655	GDP-mannose mannosyl hydrolase(gmm)
b4230	ytfT	Escherichia coli str. K-12 substr. MG1655	galactofuranose ABC transporter putative membrane subunit YtfT(ytfT)
b2293	hxpA	Escherichia coli str. K-12 substr. MG1655	hexitol phosphatase A(hxpA)
b2052	fcl	Escherichia coli str. K-12 substr. MG1655	GDP-L-fucose synthase(fcl)
b4471	tdcG	Escherichia coli str. K-12 substr. MG1655	L-serine deaminase III(tdcG)
b2053	gmd	Escherichia coli str. K-12 substr. MG1655	GDP-mannose 4,6-dehydratase(gmd)
b4232	fbp	Escherichia coli str. K-12 substr. MG1655	fructose-1,6-bisphosphatase 1(fbp)
b4474	frlC	Escherichia coli str. K-12 substr. MG1655	fructoselysine 3-epimerase(frlC)
b4231	yjfF	Escherichia coli str. K-12 substr. MG1655	galactofuranose ABC transporter putative membrane subunit YjtF(yjfF)
b2296	ackA	Escherichia coli str. K-12 substr. MG1655	acetate kinase(ackA)
b3385	gph	Escherichia coli str. K-12 substr. MG1655	phosphoglycolate phosphatase(gph)
b2290	alaA	Escherichia coli str. K-12 substr. MG1655	glutamate--pyruvate aminotransferase AlaA(alaA)
b2291	yfbR	Escherichia coli str. K-12 substr. MG1655	dCMP phosphohydrolase(yfbR)
b2048	cpsG	Escherichia coli str. K-12 substr. MG1655	phosphomannomutase(cpsG)
b4227	ytfQ	Escherichia coli str. K-12 substr. MG1655	galactofuranose ABC transporter periplasmic binding protein(ytfQ)
b3137	kbaY	Escherichia coli str. K-12 substr. MG1655	tagatose-1,6-bisphosphate aldolase 1(kbaY)
b2049	cpsB	Escherichia coli str. K-12 substr. MG1655	mannose-1-phosphate guanylyltransferase(cpsB)
b4226	ppa	Escherichia coli str. K-12 substr. MG1655	inorganic pyrophosphatase(ppa)
b4468	glcE	Escherichia coli str. K-12 substr. MG1655	glycolate dehydrogenase, putative FAD-binding subunit(glcE)
b2286	nuoC	Escherichia coli str. K-12 substr. MG1655	NADH:quinone oxidoreductase subunit CD(nuoC)
b1197	treA	Escherichia coli str. K-12 substr. MG1655	periplasmic trehalase(treA)
b2287	nuoB	Escherichia coli str. K-12 substr. MG1655	NADH:quinone oxidoreductase subunit B(nuoB)
b4464	ghxQ	Escherichia coli str. K-12 substr. MG1655	guanine/hypoxanthine transporter GhxQ(ghxQ)
b1198	dhaM	Escherichia coli str. K-12 substr. MG1655	dihydroxyacetone kinase subunit M(dhaM)
b2288	nuoA	Escherichia coli str. K-12 substr. MG1655	NADH:quinone oxidoreductase subunit A(nuoA)
b4467	glcF	Escherichia coli str. K-12 substr. MG1655	glycolate dehydrogenase, putative iron-sulfur subunit(glcF)
b1199	dhaL	Escherichia coli str. K-12 substr. MG1655	dihydroxyacetone kinase subunit L(dhaL)
b2047	wcaJ	Escherichia coli str. K-12 substr. MG1655	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase(wcaJ)
b2282	nuoH	Escherichia coli str. K-12 substr. MG1655	NADH:quinone oxidoreductase subunit H(nuoH)
b2040	rfbD	Escherichia coli str. K-12 substr. MG1655	dTDP-4-dehydrorhamnose reductase(rfbD)
b1193	emtA	Escherichia coli str. K-12 substr. MG1655	lytic murein transglycosylase E(emtA)
b3371	frlB	Escherichia coli str. K-12 substr. MG1655	fructoselysine 6-phosphate deglycase(frlB)
b2283	nuoG	Escherichia coli str. K-12 substr. MG1655	NADH:quinone oxidoreductase subunit G(nuoG)
b4460	araH	Escherichia coli str. K-12 substr. MG1655	arabinose ABC transporter membrane subunit(araH)
b2041	rfbB	Escherichia coli str. K-12 substr. MG1655	dTDP-glucose 4,6-dehydratase 1(rfbB)
b2284	nuoF	Escherichia coli str. K-12 substr. MG1655	NADH:quinone oxidoreductase subunit F(nuoF)
b2285	nuoE	Escherichia coli str. K-12 substr. MG1655	NADH:quinone oxidoreductase subunit E(nuoE)
b3132	kbaZ	Escherichia coli str. K-12 substr. MG1655	putative tagatose-1,6-bisphosphate aldolase 1 chaperone(kbaZ)
b3374	frlD	Escherichia coli str. K-12 substr. MG1655	fructoselysine 6-kinase(frlD)
b1190	dadX	Escherichia coli str. K-12 substr. MG1655	alanine racemase 2(dadX)
b2280	nuoJ	Escherichia coli str. K-12 substr. MG1655	NADH:quinone oxidoreductase subunit J(nuoJ)
b2281	nuoI	Escherichia coli str. K-12 substr. MG1655	NADH:quinone oxidoreductase subunit I(nuoI)
b1192	ldcA	Escherichia coli str. K-12 substr. MG1655	murein tetrapeptide carboxypeptidase(ldcA)
b3370	frlA	Escherichia coli str. K-12 substr. MG1655	fructoselysine/psicoselysine transporter(frlA)
b4219	msrA	Escherichia coli str. K-12 substr. MG1655	methionine sulfoxide reductase A(msrA)
b2037	rfbX	Escherichia coli str. K-12 substr. MG1655	polyisoprenol-linked O16-antigen repeat unit flippase(rfbX)
b2279	nuoK	Escherichia coli str. K-12 substr. MG1655	NADH:quinone oxidoreductase subunit K(nuoK)
b3126	garL	Escherichia coli str. K-12 substr. MG1655	alpha-dehydro-beta-deoxy-D-glucarate aldolase(garL)
b3368	cysG	Escherichia coli str. K-12 substr. MG1655	siroheme synthase(cysG)
b0099	mutT	Escherichia coli str. K-12 substr. MG1655	8-oxo-dGTP diphosphatase(mutT)
b2038	rfbC	Escherichia coli str. K-12 substr. MG1655	dTDP-4-dehydrorhamnose 3,5-epimerase(rfbC)
b3127	garP	Escherichia coli str. K-12 substr. MG1655	galactarate/D-glucarate transporter GarP(garP)
b2039	rfbA	Escherichia coli str. K-12 substr. MG1655	glucose-1-phosphate thymidylyltransferase 1(rfbA)
b3128	garD	Escherichia coli str. K-12 substr. MG1655	GarD(garD)
b2033	wbbJ	Escherichia coli str. K-12 substr. MG1655	putative lipopolysaccharide biosynthesis O-acetyl transferase WbbJ(wbbJ)
b1186	nhaB	Escherichia coli str. K-12 substr. MG1655	Na(+):H(+) antiporter NhaB(nhaB)
b2034	wbbI	Escherichia coli str. K-12 substr. MG1655	beta-1,6-galactofuranosyltransferase WbbI(wbbI)
b2276	nuoN	Escherichia coli str. K-12 substr. MG1655	NADH:quinone oxidoreductase subunit N(nuoN)
b3365	nirB	Escherichia coli str. K-12 substr. MG1655	nitrite reductase (NADH) large subunit(nirB)
b4214	cysQ	Escherichia coli str. K-12 substr. MG1655	3'(2'),5'-bisphosphate nucleotidase(cysQ)
b2035	wbbH	Escherichia coli str. K-12 substr. MG1655	putative O-antigen polymerase(wbbH)
b3124	garK	Escherichia coli str. K-12 substr. MG1655	glycerate 2-kinase 1(garK)
b2277	nuoM	Escherichia coli str. K-12 substr. MG1655	NADH:quinone oxidoreductase subunit M(nuoM)
b3366	nirD	Escherichia coli str. K-12 substr. MG1655	nitrite reductase (NADH) small subunit(nirD)
b4213	cpdB	Escherichia coli str. K-12 substr. MG1655	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase(cpdB)
b3367	nirC	Escherichia coli str. K-12 substr. MG1655	nitrite transporter NirC(nirC)
b2036	glf	Escherichia coli str. K-12 substr. MG1655	UDP-galactopyranose mutase(glf)
b2278	nuoL	Escherichia coli str. K-12 substr. MG1655	NADH:quinone oxidoreductase subunit L(nuoL)
b3125	garR	Escherichia coli str. K-12 substr. MG1655	tartronate semialdehyde reductase(garR)
b1189	dadA	Escherichia coli str. K-12 substr. MG1655	D-amino acid dehydrogenase(dadA)
b3880	yihS	Escherichia coli str. K-12 substr. MG1655	sulfoquinovose isomerase(yihS)
b2309	hisJ	Escherichia coli str. K-12 substr. MG1655	histidine ABC transporter periplasmic binding protein(hisJ)
b0369	hemB	Escherichia coli str. K-12 substr. MG1655	porphobilinogen synthase(hemB)
b2789	gudP	Escherichia coli str. K-12 substr. MG1655	galactarate/D-glucarate transporter GudP(gudP)
b1216	chaA	Escherichia coli str. K-12 substr. MG1655	Na(+)/K(+):H(+) antiporter ChaA(chaA)
b3878	yihQ	Escherichia coli str. K-12 substr. MG1655	sulfoquinovosidase(yihQ)
b2306	hisP	Escherichia coli str. K-12 substr. MG1655	lysine/arginine/ornithine ABC transporter/histidine ABC transporter, ATP binding subunit(hisP)
b2307	hisM	Escherichia coli str. K-12 substr. MG1655	lysine/arginine/ornithine ABC transporter/histidine ABC transporter, membrane subunit HisM(hisM)
b3639	dfp	Escherichia coli str. K-12 substr. MG1655	fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase(dfp)
b2308	hisQ	Escherichia coli str. K-12 substr. MG1655	lysine/arginine/ornithine ABC transporter/histidine ABC transporter, membrane subunit HisQ(hisQ)
b3875	ompL	Escherichia coli str. K-12 substr. MG1655	putative outer membrane porin L(ompL)
b3632	waaQ	Escherichia coli str. K-12 substr. MG1655	lipopolysaccharide core heptosyltransferase 3(waaQ)
b2302	yfcG	Escherichia coli str. K-12 substr. MG1655	disulfide bond oxidoreductase YfcG(yfcG)
b3633	waaA	Escherichia coli str. K-12 substr. MG1655	KDO transferase(waaA)
b0121	speE	Escherichia coli str. K-12 substr. MG1655	spermidine synthase(speE)
b3877	yihP	Escherichia coli str. K-12 substr. MG1655	putative 2,3-dihydroxypropane-1-sulfonate export protein(yihP)
b2303	folX	Escherichia coli str. K-12 substr. MG1655	dihydroneopterin triphosphate 2'-epimerase(folX)
b2787	gudD	Escherichia coli str. K-12 substr. MG1655	D-glucarate dehydratase(gudD)
b3634	coaD	Escherichia coli str. K-12 substr. MG1655	pantetheine-phosphate adenylyltransferase(coaD)
b0120	speD	Escherichia coli str. K-12 substr. MG1655	S-adenosylmethionine decarboxylase proenzyme(speD)
b3876	yihO	Escherichia coli str. K-12 substr. MG1655	putative sulfoquinovose transporter(yihO)
b2788	gudX	Escherichia coli str. K-12 substr. MG1655	glucarate dehydratase-related protein(gudX)
b1215	kdsA	Escherichia coli str. K-12 substr. MG1655	3-deoxy-D-manno-octulosonate 8-phosphate synthase(kdsA)
b1692	ydiB	Escherichia coli str. K-12 substr. MG1655	quinate/shikimate dehydrogenase(ydiB)
b0126	can	Escherichia coli str. K-12 substr. MG1655	carbonic anhydrase 2(can)
b0368	tauD	Escherichia coli str. K-12 substr. MG1655	taurine dioxygenase(tauD)
b2781	mazG	Escherichia coli str. K-12 substr. MG1655	nucleoside triphosphate pyrophosphohydrolase(mazG)
b1693	aroD	Escherichia coli str. K-12 substr. MG1655	3-dehydroquinate dehydratase(aroD)
b3870	glnA	Escherichia coli str. K-12 substr. MG1655	glutamine synthetase(glnA)
b0125	hpt	Escherichia coli str. K-12 substr. MG1655	hypoxanthine phosphoribosyltransferase(hpt)
b2540	hcaC	Escherichia coli str. K-12 substr. MG1655	putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin subunit(hcaC)
b0367	tauC	Escherichia coli str. K-12 substr. MG1655	taurine ABC transporter membrane subunit(tauC)
b1694	ydiF	Escherichia coli str. K-12 substr. MG1655	putative acetate-CoA transferase YdiF(ydiF)
b0124	gcd	Escherichia coli str. K-12 substr. MG1655	quinoprotein glucose dehydrogenase(gcd)
b0366	tauB	Escherichia coli str. K-12 substr. MG1655	taurine ABC transporter ATP binding subunit(tauB)
b2541	hcaB	Escherichia coli str. K-12 substr. MG1655	2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase(hcaB)
b1210	hemA	Escherichia coli str. K-12 substr. MG1655	glutamyl-tRNA reductase(hemA)
b3630	waaP	Escherichia coli str. K-12 substr. MG1655	lipopolysaccharide core heptose (I) kinase(waaP)
b0365	tauA	Escherichia coli str. K-12 substr. MG1655	taurine ABC transporter periplasmic binding protein(tauA)
b2784	relA	Escherichia coli str. K-12 substr. MG1655	GDP/GTP pyrophosphokinase(relA)
b2542	hcaD	Escherichia coli str. K-12 substr. MG1655	putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin reductase subunit(hcaD)
b1695	ydiO	Escherichia coli str. K-12 substr. MG1655	putative acyl-CoA dehydrogenase YdiO(ydiO)
b0123	cueO	Escherichia coli str. K-12 substr. MG1655	multicopper oxidase CueO(cueO)
b1453	ansP	Escherichia coli str. K-12 substr. MG1655	L-asparagine transporter(ansP)
b3631	waaG	Escherichia coli str. K-12 substr. MG1655	lipopolysaccharide glucosyltransferase I(waaG)
b2780	pyrG	Escherichia coli str. K-12 substr. MG1655	CTP synthetase(pyrG)
b3629	waaS	Escherichia coli str. K-12 substr. MG1655	lipopolysaccharide core biosynthesis protein WaaS(waaS)
b0118	acnB	Escherichia coli str. K-12 substr. MG1655	AcnB(acnB)
b0116	lpd	Escherichia coli str. K-12 substr. MG1655	lipoamide dehydrogenase(lpd)
b2536	hcaT	Escherichia coli str. K-12 substr. MG1655	putative 3-phenylpropionate transporter(hcaT)
b3625	waaY	Escherichia coli str. K-12 substr. MG1655	lipopolysaccharide core heptose (II) kinase(waaY)
b3867	hemN	Escherichia coli str. K-12 substr. MG1655	coproporphyrinogen III dehydrogenase(hemN)
b2779	eno	Escherichia coli str. K-12 substr. MG1655	enolase(eno)
b1206	dauA	Escherichia coli str. K-12 substr. MG1655	aerobic C4-dicarboxylate transporter DauA(dauA)
b1448	mnaT	Escherichia coli str. K-12 substr. MG1655	L-amino acid N-acyltransferase(mnaT)
b3626	waaJ	Escherichia coli str. K-12 substr. MG1655	UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase(waaJ)
b2538	hcaE	Escherichia coli str. K-12 substr. MG1655	putative 3-phenylpropionate/cinnamate dioxygenase subunit alpha(hcaE)
b1207	prs	Escherichia coli str. K-12 substr. MG1655	ribose-phosphate diphosphokinase(prs)
b1449	curA	Escherichia coli str. K-12 substr. MG1655	NADPH-dependent curcumin/dihydrocurcumin reductase(curA)
b3627	waaO	Escherichia coli str. K-12 substr. MG1655	UDP-D-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase(waaO)
b2539	hcaF	Escherichia coli str. K-12 substr. MG1655	putative 3-phenylpropionate/cinnamate dioxygenase subunit beta(hcaF)
b1208	ispE	Escherichia coli str. K-12 substr. MG1655	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase(ispE)
b3628	waaB	Escherichia coli str. K-12 substr. MG1655	UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase(waaB)
b0595	entB	Escherichia coli str. K-12 substr. MG1655	enterobactin synthase component B(entB)
b0353	mhpT	Escherichia coli str. K-12 substr. MG1655	3-hydroxyphenylpropionate/3-hydroxycinnamate:H(+) symporter(mhpT)
b1443	ydcV	Escherichia coli str. K-12 substr. MG1655	putative ABC transporter membrane subunit YdcV(ydcV)
b3621	waaC	Escherichia coli str. K-12 substr. MG1655	ADP-heptose:LPS heptosyltransferase 1(waaC)
b1686	menI	Escherichia coli str. K-12 substr. MG1655	1,4-dihydroxy-2-naphthoyl-CoA hydrolase(menI)
b0110	ampD	Escherichia coli str. K-12 substr. MG1655	1,6-anhydro-N-acetylmuramoyl-L-alanine amidase(ampD)
b0352	mhpE	Escherichia coli str. K-12 substr. MG1655	4-hydroxy-2-oxovalerate aldolase(mhpE)
b2533	suhB	Escherichia coli str. K-12 substr. MG1655	Nus factor SuhB(suhB)
b0594	entE	Escherichia coli str. K-12 substr. MG1655	2,3-dihydroxybenzoate-AMP ligase(entE)
b1444	patD	Escherichia coli str. K-12 substr. MG1655	gamma-aminobutyraldehyde dehydrogenase(patD)
b3622	waaL	Escherichia coli str. K-12 substr. MG1655	O-antigen ligase(waaL)
b0351	mhpF	Escherichia coli str. K-12 substr. MG1655	acetaldehyde dehydrogenase (acetylating) MhpF(mhpF)
b0593	entC	Escherichia coli str. K-12 substr. MG1655	isochorismate synthase EntC(entC)
b3623	waaU	Escherichia coli str. K-12 substr. MG1655	putative ADP-heptose:LPS heptosyltransferase 4(waaU)
b0350	mhpD	Escherichia coli str. K-12 substr. MG1655	2-hydroxypentadienoate hydratase(mhpD)
b0592	fepB	Escherichia coli str. K-12 substr. MG1655	ferric enterobactin ABC transporter periplasmic binding protein(fepB)
b3624	waaZ	Escherichia coli str. K-12 substr. MG1655	lipopolysaccharide core biosynthesis protein WaaZ(waaZ)
b3860	dsbA	Escherichia coli str. K-12 substr. MG1655	thiol:disulfide oxidoreductase DsbA(dsbA)
b0115	aceF	Escherichia coli str. K-12 substr. MG1655	pyruvate dehydrogenase, E2 subunit(aceF)
b1681	sufD	Escherichia coli str. K-12 substr. MG1655	Fe-S cluster scaffold complex subunit SufD(sufD)
b0114	aceE	Escherichia coli str. K-12 substr. MG1655	pyruvate dehydrogenase E1 component(aceE)
b0356	frmA	Escherichia coli str. K-12 substr. MG1655	S-(hydroxymethyl)glutathione dehydrogenase(frmA)
b1440	ydcS	Escherichia coli str. K-12 substr. MG1655	putative ABC transporter periplasmic binding protein/polyhydroxybutyrate synthase(ydcS)
b1682	sufC	Escherichia coli str. K-12 substr. MG1655	Fe-S cluster scaffold complex subunit SufC(sufC)
b2530	iscS	Escherichia coli str. K-12 substr. MG1655	cysteine desulfurase IscS(iscS)
b0355	frmB	Escherichia coli str. K-12 substr. MG1655	S-formylglutathione hydrolase FrmB(frmB)
b0597	entH	Escherichia coli str. K-12 substr. MG1655	proofreading thioesterase in enterobactin biosynthesis(entH)
b1683	sufB	Escherichia coli str. K-12 substr. MG1655	Fe-S cluster scaffold complex subunit SufB(sufB)
b1441	ydcT	Escherichia coli str. K-12 substr. MG1655	putative ABC transporter ATP-binding protein YdcT(ydcT)
b1684	sufA	Escherichia coli str. K-12 substr. MG1655	iron-sulfur cluster insertion protein SufA(sufA)
b0596	entA	Escherichia coli str. K-12 substr. MG1655	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase(entA)
b1200	dhaK	Escherichia coli str. K-12 substr. MG1655	dihydroxyacetone kinase subunit K(dhaK)
b1442	ydcU	Escherichia coli str. K-12 substr. MG1655	putative ABC transporter membrane subunit YdcU(ydcU)
b0112	aroP	Escherichia coli str. K-12 substr. MG1655	aromatic amino acid:H(+) symporter AroP(aroP)
b3620	waaF	Escherichia coli str. K-12 substr. MG1655	ADP-heptose--LPS heptosyltransferase 2(waaF)
b1680	sufS	Escherichia coli str. K-12 substr. MG1655	L-cysteine desulfurase(sufS)
b0591	entS	Escherichia coli str. K-12 substr. MG1655	enterobactin exporter EntS(entS)
b0590	fepD	Escherichia coli str. K-12 substr. MG1655	ferric enterobactin ABC transporter membrane subunit FebD(fepD)
b2529	iscU	Escherichia coli str. K-12 substr. MG1655	scaffold protein for iron-sulfur cluster assembly(iscU)
b0349	mhpC	Escherichia coli str. K-12 substr. MG1655	2-hydroxy-6-ketonona-2,4-dienedioate hydrolase(mhpC)
b3619	rfaD	Escherichia coli str. K-12 substr. MG1655	ADP-L-glycero-D-mannoheptose 6-epimerase(rfaD)
b0348	mhpB	Escherichia coli str. K-12 substr. MG1655	3-carboxyethylcatechol 2,3-dioxygenase(mhpB)
b0347	mhpA	Escherichia coli str. K-12 substr. MG1655	3-(3-hydroxyphenyl)propanoate hydroxylase(mhpA)
b0589	fepG	Escherichia coli str. K-12 substr. MG1655	ferric enterobactin ABC transporter membrane subunit FepG(fepG)
b3857	mobA	Escherichia coli str. K-12 substr. MG1655	molybdenum cofactor guanylyltransferase(mobA)
b3614	yibQ	Escherichia coli str. K-12 substr. MG1655	divergent polysaccharide deacetylase domain-containing protein YibQ(yibQ)
b1678	ldtE	Escherichia coli str. K-12 substr. MG1655	L,D-transpeptidase LdtE(ldtE)
b3856	mobB	Escherichia coli str. K-12 substr. MG1655	molybdopterin-guanine dinucleotide biosynthesis adaptor protein(mobB)
b1679	sufE	Escherichia coli str. K-12 substr. MG1655	sulfur carrier protein SufE(sufE)
b3616	tdh	Escherichia coli str. K-12 substr. MG1655	threonine dehydrogenase(tdh)
b0109	nadC	Escherichia coli str. K-12 substr. MG1655	quinolinate phosphoribosyltransferase (decarboxylating)(nadC)
b2528	iscA	Escherichia coli str. K-12 substr. MG1655	iron-sulfur cluster insertion protein IscA(iscA)
b3617	kbl	Escherichia coli str. K-12 substr. MG1655	2-amino-3-ketobutyrate CoA ligase(kbl)
b2521	sseA	Escherichia coli str. K-12 substr. MG1655	3-mercaptopyruvate sulfurtransferase(sseA)
b2763	cysI	Escherichia coli str. K-12 substr. MG1655	sulfite reductase, hemoprotein subunit(cysI)
b0584	fepA	Escherichia coli str. K-12 substr. MG1655	ferric enterobactin outer membrane transporter(fepA)
b3610	grxC	Escherichia coli str. K-12 substr. MG1655	reduced glutaredoxin 3(grxC)
b0341	cynX	Escherichia coli str. K-12 substr. MG1655	cyanate transporter(cynX)
b0583	entD	Escherichia coli str. K-12 substr. MG1655	phosphopantetheinyl transferase EntD(entD)
b2764	cysJ	Escherichia coli str. K-12 substr. MG1655	sulfite reductase, flavoprotein subunit(cysJ)
b1676	pykF	Escherichia coli str. K-12 substr. MG1655	pyruvate kinase 1(pykF)
b2523	pepB	Escherichia coli str. K-12 substr. MG1655	aminopeptidase B(pepB)
b0340	cynS	Escherichia coli str. K-12 substr. MG1655	cyanase(cynS)
b2765	queD	Escherichia coli str. K-12 substr. MG1655	6-carboxy-5,6,7,8-tetrahydropterin synthase(queD)
b3612	gpmM	Escherichia coli str. K-12 substr. MG1655	2,3-bisphosphoglycerate-independent phosphoglycerate mutase(gpmM)
b1677	lpp	Escherichia coli str. K-12 substr. MG1655	murein lipoprotein(lpp)
b0104	guaC	Escherichia coli str. K-12 substr. MG1655	GMP reductase(guaC)
b0588	fepC	Escherichia coli str. K-12 substr. MG1655	ferric enterobactin ABC transporter ATP binding subunit(fepC)
b0103	coaE	Escherichia coli str. K-12 substr. MG1655	dephospho-CoA kinase(coaE)
b0344	lacZ	Escherichia coli str. K-12 substr. MG1655	beta-galactosidase(lacZ)
b0586	entF	Escherichia coli str. K-12 substr. MG1655	apo-serine activating enzyme(entF)
b1430	tehB	Escherichia coli str. K-12 substr. MG1655	tellurite methyltransferase(tehB)
b3850	hemG	Escherichia coli str. K-12 substr. MG1655	protoporphyrinogen oxidase(hemG)
b0343	lacY	Escherichia coli str. K-12 substr. MG1655	lactose permease(lacY)
b2762	cysH	Escherichia coli str. K-12 substr. MG1655	phosphoadenosine phosphosulfate reductase(cysH)
b0585	fes	Escherichia coli str. K-12 substr. MG1655	ferric enterobactin esterase(fes)
b0339	cynT	Escherichia coli str. K-12 substr. MG1655	carbonic anhydrase 1(cynT)
b2518	ndk	Escherichia coli str. K-12 substr. MG1655	nucleoside diphosphate kinase(ndk)
b3607	cysE	Escherichia coli str. K-12 substr. MG1655	serine acetyltransferase(cysE)
b3849	trkH	Escherichia coli str. K-12 substr. MG1655	K(+) transporter TrkH(trkH)
b2519	pbpC	Escherichia coli str. K-12 substr. MG1655	peptidoglycan glycosyltransferase PbpC(pbpC)
b3608	gpsA	Escherichia coli str. K-12 substr. MG1655	glycerol-3-phosphate dehydrogenase(gpsA)
b0337	codA	Escherichia coli str. K-12 substr. MG1655	cytosine/isoguanine deaminase(codA)
b0336	codB	Escherichia coli str. K-12 substr. MG1655	cytosine transporter(codB)
b0578	nfsB	Escherichia coli str. K-12 substr. MG1655	NAD(P)H-dependent nitroreductase NfsB(nfsB)
b3846	fadB	Escherichia coli str. K-12 substr. MG1655	multifunctional enoyl-CoA hydratase, 3-hydroxyacyl-CoA epimerase, Delta(3)-cis- Delta(2)-trans-enoyl-CoA isomerase, L-3-hydroxyacyl-CoA dehydrogenase(fadB)
b3603	lldP	Escherichia coli str. K-12 substr. MG1655	lactate/glycolate:H(+) symporter LldP(lldP)
b3845	fadA	Escherichia coli str. K-12 substr. MG1655	3-ketoacyl-CoA thiolase(fadA)
b2515	ispG	Escherichia coli str. K-12 substr. MG1655	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin)(ispG)
b3605	lldD	Escherichia coli str. K-12 substr. MG1655	L-lactate dehydrogenase(lldD)
b0331	prpB	Escherichia coli str. K-12 substr. MG1655	2-methylisocitrate lyase(prpB)
b2994	hybC	Escherichia coli str. K-12 substr. MG1655	hydrogenase 2 large subunit(hybC)
b2752	cysD	Escherichia coli str. K-12 substr. MG1655	sulfate adenylyltransferase subunit 2(cysD)
b0573	cusF	Escherichia coli str. K-12 substr. MG1655	copper/silver export system periplasmic binding protein(cusF)
b0572	cusC	Escherichia coli str. K-12 substr. MG1655	copper/silver export system outer membrane channel(cusC)
b2995	hybB	Escherichia coli str. K-12 substr. MG1655	hydrogenase 2 membrane subunit(hybB)
b3600	mtlD	Escherichia coli str. K-12 substr. MG1655	mannitol-1-phosphate 5-dehydrogenase(mtlD)
b3844	fre	Escherichia coli str. K-12 substr. MG1655	NAD(P)H-flavin reductase(fre)
b2996	hybA	Escherichia coli str. K-12 substr. MG1655	hydrogenase 2 iron-sulfur protein(hybA)
b3843	ubiD	Escherichia coli str. K-12 substr. MG1655	3-octaprenyl-4-hydroxybenzoate decarboxylase(ubiD)
b2997	hybO	Escherichia coli str. K-12 substr. MG1655	hydrogenase 2 small subunit(hybO)
b0577	ybdG	Escherichia coli str. K-12 substr. MG1655	miniconductance mechanosensitive channel YbdG(ybdG)
b0335	prpE	Escherichia coli str. K-12 substr. MG1655	propionyl-CoA synthetase(prpE)
b0576	pheP	Escherichia coli str. K-12 substr. MG1655	phenylalanine:H(+) symporter PheP(pheP)
b0334	prpD	Escherichia coli str. K-12 substr. MG1655	2-methylcitrate dehydratase(prpD)
b1661	cfa	Escherichia coli str. K-12 substr. MG1655	cyclopropane fatty acyl phospholipid synthase(cfa)
b2750	cysC	Escherichia coli str. K-12 substr. MG1655	adenylyl-sulfate kinase(cysC)
b0575	cusA	Escherichia coli str. K-12 substr. MG1655	copper/silver export system RND permease(cusA)
b0333	prpC	Escherichia coli str. K-12 substr. MG1655	2-methylcitrate synthase(prpC)
b2751	cysN	Escherichia coli str. K-12 substr. MG1655	sulfate adenylyltransferase subunit 1(cysN)
